Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Information systems manager,Transportation,Increasing,High,72048.78,Associate Degree,12,7530,390,69.98,81.86,USA,71.88
Broadcast presenter,Finance,Increasing,Low,98558.33,High School,6,6281,7520,49.96,8.68,Brazil,20.76
Physiotherapist,Finance,Increasing,Low,126589.91,Associate Degree,17,6967,6939,69.48,0.0,Germany,44.41
Aid worker,Healthcare,Increasing,Moderate,88953.49,High School,19,3023,7599,42.83,68.32,UK,55.33
Oceanographer,Manufacturing,Increasing,High,98096.63,Bachelor’s Degree,11,4046,1708,37.3,0.0,Australia,33.01
Interior and spatial designer,IT,Increasing,Low,125394.78,Master’s Degree,12,7885,4787,92.82,0.0,USA,68.68
Clinical biochemist,Entertainment,Increasing,Moderate,82942.35,High School,9,9336,8675,35.99,11.44,Australia,69.08
"Engineer, manufacturing systems",Transportation,Decreasing,High,87949.16,PhD,8,331,9524,68.44,71.35,China,37.94
Charity officer,Education,Increasing,Moderate,59566.66,High School,3,152,5053,13.01,81.31,India,53.82
Tax inspector,Education,Decreasing,Low,68945.57,Bachelor’s Degree,3,5237,2017,96.21,81.03,Canada,49.69
"Journalist, newspaper",Education,Decreasing,Low,90454.44,Associate Degree,15,2526,5731,52.5,67.58,India,23.16
Commissioning editor,Retail,Increasing,High,68715.88,Bachelor’s Degree,6,4198,7195,2.01,71.99,India,65.91
IT sales professional,Healthcare,Increasing,Low,102640.49,High School,16,4177,5593,17.66,31.41,Australia,21.92
"Engineer, civil (consulting)",Healthcare,Increasing,Low,106374.63,PhD,12,3200,4919,32.7,56.72,Canada,64.95
Counselling psychologist,Healthcare,Increasing,Moderate,110285.13,PhD,2,7485,6442,87.66,30.53,Brazil,30.52
"Engineer, manufacturing systems",Finance,Increasing,Moderate,125044.49,Master’s Degree,10,9596,9947,93.72,24.19,China,75.6
Community pharmacist,Entertainment,Decreasing,Low,86698.76,High School,16,8857,5261,56.22,3.84,India,31.9
Automotive engineer,Healthcare,Decreasing,High,80302.37,PhD,1,8244,2582,3.67,66.1,USA,22.04
Acupuncturist,IT,Increasing,High,116849.23,PhD,6,6486,2155,75.96,55.74,Canada,47.88
"Teacher, music",Manufacturing,Decreasing,Low,88013.02,Bachelor’s Degree,4,2141,8092,15.59,36.64,Brazil,57.73
Electrical engineer,Education,Increasing,Moderate,73072.61,Associate Degree,4,2067,8768,71.18,64.3,UK,22.9
Theatre manager,Manufacturing,Increasing,High,79663.44,Bachelor’s Degree,7,8600,8451,49.05,71.45,Brazil,65.64
Sales promotion account executive,Finance,Decreasing,Low,92222.15,Bachelor’s Degree,4,9153,4251,72.94,62.76,India,48.75
Multimedia programmer,Entertainment,Increasing,Low,82794.54,Associate Degree,4,1229,7369,66.08,18.7,USA,23.48
Theatre manager,Entertainment,Increasing,High,103015.28,PhD,3,4837,6074,33.76,15.9,China,54.17
Health promotion specialist,Transportation,Increasing,Low,92098.72,Master’s Degree,19,8168,247,94.57,70.53,USA,78.47
Mechanical engineer,Healthcare,Decreasing,High,89315.52,Master’s Degree,2,8634,6057,20.93,29.37,India,23.45
Public relations officer,Healthcare,Decreasing,Moderate,92821.1,High School,17,1573,4576,39.34,49.66,USA,32.08
Television production assistant,Healthcare,Decreasing,High,111748.89,Master’s Degree,20,6994,7015,90.45,79.44,Canada,72.82
Surgeon,Transportation,Decreasing,High,75720.89,High School,17,4610,349,46.16,48.24,India,43.59
Clinical psychologist,Education,Decreasing,High,81561.85,Associate Degree,8,3836,7536,98.5,36.88,Australia,70.7
"Buyer, industrial",Entertainment,Decreasing,Low,101821.36,Associate Degree,19,3744,7692,80.78,0.0,India,33.25
Geochemist,Finance,Decreasing,Low,122652.82,Master’s Degree,14,2633,6432,9.43,0.0,Germany,51.42
"Designer, jewellery",Transportation,Decreasing,Moderate,56387.41,High School,0,224,8836,66.38,49.95,USA,28.07
Psychiatrist,Education,Increasing,Moderate,83402.28,Bachelor’s Degree,7,888,1424,56.65,56.95,USA,57.72
"Surveyor, land/geomatics",Entertainment,Increasing,Moderate,77037.59,Associate Degree,0,9761,5197,34.55,4.53,USA,41.54
Health and safety inspector,Finance,Decreasing,High,96467.61,PhD,1,2618,8552,42.17,76.87,China,32.31
Hydrogeologist,Transportation,Decreasing,Moderate,81950.38,Associate Degree,9,3166,1962,95.26,0.0,Canada,71.56
Professor Emeritus,Education,Decreasing,Low,85811.5,High School,15,6982,2981,64.6,42.16,Canada,78.54
Systems developer,Healthcare,Decreasing,High,75669.03,High School,10,4649,7882,14.39,47.14,Brazil,22.4
"Civil engineer, contracting",Education,Decreasing,Low,88437.17,Associate Degree,10,2686,5686,55.48,56.01,China,54.35
Psychotherapist,Education,Increasing,High,105386.71,PhD,15,7630,8829,34.24,63.32,Australia,31.35
Economist,Retail,Decreasing,Low,78168.72,Associate Degree,11,2224,4485,94.27,81.41,USA,75.8
Social worker,Transportation,Increasing,Low,89342.26,PhD,9,9839,2285,84.16,81.97,USA,42.18
Materials engineer,Education,Increasing,High,75226.7,Associate Degree,9,8209,9061,3.82,46.0,Brazil,42.87
Economist,Healthcare,Decreasing,Low,97326.39,PhD,9,9570,2719,67.1,72.3,USA,68.78
Ecologist,IT,Decreasing,Low,86883.91,High School,11,1667,1006,48.97,67.03,UK,72.09
"Surveyor, mining",Healthcare,Increasing,Low,86233.46,Master’s Degree,0,1719,9407,24.92,52.6,UK,33.86
"Engineer, maintenance (IT)",Entertainment,Decreasing,Moderate,85873.92,Master’s Degree,10,170,8989,39.05,72.0,USA,24.96
"Producer, television/film/video",Manufacturing,Decreasing,Low,78570.98,Bachelor’s Degree,5,8599,5317,6.09,85.02,Australia,68.48
Building surveyor,Transportation,Increasing,Low,77007.3,Bachelor’s Degree,6,4099,6401,79.93,67.77,USA,29.77
Radio broadcast assistant,Retail,Decreasing,High,102561.69,PhD,1,8219,8073,84.11,7.74,Brazil,23.01
Lexicographer,Entertainment,Increasing,Low,77255.22,Associate Degree,12,503,1346,67.15,91.36,Australia,75.13
"Research officer, political party",Education,Decreasing,High,96898.45,High School,19,6704,5261,0.23,0.0,India,56.43
Educational psychologist,Finance,Increasing,Moderate,90150.64,Associate Degree,5,402,6340,51.41,76.95,USA,53.99
Comptroller,IT,Decreasing,High,110658.06,Master’s Degree,5,2875,7619,18.72,0.0,Canada,60.24
"Lecturer, higher education",Manufacturing,Decreasing,High,94677.15,Master’s Degree,9,1122,3444,69.87,78.89,China,64.01
Probation officer,Finance,Decreasing,High,124419.37,Bachelor’s Degree,18,6479,5918,5.12,38.17,India,77.22
Science writer,Transportation,Decreasing,Moderate,85791.18,Master’s Degree,16,7508,2627,63.25,66.95,USA,26.47
"Sound technician, broadcasting/film/video",Manufacturing,Increasing,Moderate,82516.59,Associate Degree,4,1568,2277,45.49,4.52,Australia,29.3
Exercise physiologist,Manufacturing,Decreasing,Moderate,112329.2,PhD,15,4561,9745,29.47,49.88,China,21.37
Charity fundraiser,Entertainment,Increasing,High,109400.89,PhD,13,1485,7901,21.66,16.11,UK,73.9
Volunteer coordinator,Manufacturing,Increasing,Low,94131.33,Bachelor’s Degree,8,4618,503,79.42,1.57,Australia,46.97
Sport and exercise psychologist,Transportation,Decreasing,Moderate,70865.61,High School,9,1445,8431,39.76,0.0,Canada,42.83
Careers information officer,IT,Increasing,Low,98602.84,Master’s Degree,0,8759,1961,21.95,72.41,USA,65.01
Illustrator,Entertainment,Decreasing,Moderate,109819.77,Master’s Degree,19,3532,2877,68.64,0.26,India,64.88
Animal nutritionist,Retail,Decreasing,Moderate,103000.06,PhD,9,2006,1499,63.25,12.42,India,48.14
Medical illustrator,Retail,Decreasing,Moderate,61903.24,High School,7,9588,3110,54.35,77.59,China,54.6
Marine scientist,Healthcare,Increasing,Low,112404.91,Bachelor’s Degree,20,908,5230,53.9,15.62,USA,67.75
Futures trader,Finance,Decreasing,Low,92607.57,Master’s Degree,3,4224,8820,10.11,78.21,Canada,49.52
"Teacher, English as a foreign language",Manufacturing,Decreasing,Moderate,80240.17,Associate Degree,5,1268,4689,85.42,0.16,Brazil,45.28
Occupational therapist,IT,Decreasing,High,124479.76,High School,14,4424,2717,0.5,22.84,Germany,31.24
Chief Marketing Officer,Education,Increasing,Low,97952.88,PhD,7,4748,4606,48.77,62.26,Germany,69.85
Geophysical data processor,Transportation,Decreasing,Moderate,95972.57,PhD,3,9702,8480,9.99,4.63,Brazil,63.4
"Nurse, learning disability",IT,Decreasing,High,120248.39,PhD,17,243,6694,77.06,70.81,UK,32.52
"Psychologist, occupational",Entertainment,Decreasing,Low,95219.67,Associate Degree,15,9481,2028,19.19,12.69,Australia,39.56
Dentist,Entertainment,Decreasing,Low,110251.88,Master’s Degree,14,2856,9310,6.38,2.38,Germany,53.54
Garment/textile technologist,Manufacturing,Increasing,Low,109156.76,Bachelor’s Degree,20,4340,5232,98.37,33.66,India,61.1
Editorial assistant,Education,Decreasing,Low,74559.12,High School,4,3045,1378,81.55,2.07,China,25.9
"Psychologist, forensic",IT,Decreasing,Low,111367.18,Bachelor’s Degree,6,4803,5188,54.95,20.4,China,47.25
Animal nutritionist,Healthcare,Increasing,High,101818.51,Associate Degree,10,1909,4486,6.5,0.0,China,46.43
Information officer,Entertainment,Decreasing,High,78266.64,Associate Degree,8,3749,3871,23.78,38.75,India,27.49
Chiropractor,Retail,Increasing,High,118044.85,Master’s Degree,16,7619,171,25.96,0.0,Germany,29.78
"Journalist, magazine",Transportation,Decreasing,Low,85823.61,Master’s Degree,5,5541,8177,11.37,52.85,China,28.0
Armed forces operational officer,Retail,Decreasing,High,95051.51,PhD,2,4236,7478,33.88,25.4,UK,72.52
Advertising copywriter,Transportation,Increasing,Moderate,93420.63,PhD,2,2185,4567,15.69,47.58,Canada,60.74
IT sales professional,Education,Increasing,Low,110229.63,PhD,14,9371,5079,37.31,0.0,Australia,24.34
Corporate investment banker,Healthcare,Increasing,Moderate,112032.51,Master’s Degree,12,9185,7504,15.08,35.17,USA,49.53
Transport planner,Finance,Increasing,Moderate,111596.96,PhD,4,3427,8781,12.68,47.42,Germany,72.34
Optometrist,Healthcare,Increasing,Moderate,60861.43,Associate Degree,0,1614,9361,88.12,67.49,UK,45.37
Financial planner,Manufacturing,Increasing,Low,104466.19,PhD,13,6299,4010,49.82,78.24,UK,42.36
"Conservator, museum/gallery",Healthcare,Increasing,Moderate,102306.43,Master’s Degree,20,7946,6972,77.38,84.76,UK,70.92
"Nurse, learning disability",Finance,Increasing,Low,104671.71,High School,9,271,7737,0.85,2.29,China,24.38
Public affairs consultant,IT,Increasing,Moderate,111760.9,Master’s Degree,2,7217,9462,90.12,14.16,India,73.35
"Education officer, community",Retail,Increasing,Moderate,65877.01,High School,1,9634,8178,20.35,21.62,Germany,50.43
Legal secretary,Finance,Decreasing,Low,112228.16,Master’s Degree,10,4100,1600,37.96,29.98,Australia,74.87
Purchasing manager,Transportation,Decreasing,Moderate,99626.8,PhD,15,5653,1325,34.42,76.66,Canada,38.19
"Secretary, company",Education,Decreasing,Low,110699.19,PhD,14,9564,4801,29.58,16.35,China,73.46
Commercial/residential surveyor,Healthcare,Decreasing,Low,108353.06,Bachelor’s Degree,10,5678,7480,95.53,31.49,Australia,40.99
Chartered legal executive (England and Wales),Manufacturing,Decreasing,High,85033.77,High School,13,6436,1219,78.76,2.52,Brazil,25.5
Technical brewer,Entertainment,Increasing,Moderate,109092.35,PhD,13,8669,1245,35.16,0.0,Canada,41.47
Medical physicist,Retail,Increasing,Moderate,112266.38,Master’s Degree,19,8799,9420,17.1,25.08,Brazil,22.31
"Psychologist, educational",Healthcare,Increasing,Low,61685.15,High School,1,6975,2558,63.71,77.88,UK,49.24
Charity officer,Healthcare,Increasing,High,101476.65,Bachelor’s Degree,6,4187,271,41.98,2.71,India,31.71
Research scientist (maths),Healthcare,Decreasing,Low,113467.62,High School,18,4417,368,45.23,0.0,Brazil,35.59
Tax inspector,Entertainment,Decreasing,Moderate,97627.44,Bachelor’s Degree,3,8426,6771,57.42,0.0,India,31.13
Sales executive,Education,Decreasing,Low,111098.73,PhD,4,6096,4151,54.2,1.15,China,74.59
Minerals surveyor,IT,Decreasing,Moderate,111329.35,High School,16,6213,1081,34.91,0.0,USA,50.23
Database administrator,IT,Increasing,Moderate,97298.32,High School,16,3212,6242,33.65,73.68,Australia,52.53
"Surveyor, quantity",Manufacturing,Increasing,High,98873.33,PhD,1,2378,6460,79.2,36.49,Germany,26.5
Management consultant,IT,Increasing,High,83843.18,High School,3,9585,1503,61.87,89.34,India,37.78
Solicitor,Entertainment,Decreasing,Low,108222.17,Master’s Degree,12,8567,8361,29.52,5.32,India,56.75
Primary school teacher,Transportation,Decreasing,Low,91164.74,Associate Degree,19,4887,8294,9.86,30.42,Germany,76.15
Ecologist,Finance,Increasing,Low,104835.67,Associate Degree,8,9074,5422,96.1,17.88,Germany,49.63
Patent examiner,Retail,Decreasing,High,81950.18,High School,16,6378,2712,7.23,29.24,Australia,24.4
Press photographer,Healthcare,Decreasing,High,81260.69,Associate Degree,6,2408,4344,23.28,94.21,UK,38.17
Television floor manager,Transportation,Decreasing,Low,104060.56,Master’s Degree,14,8923,3341,57.45,21.12,Canada,64.62
Commercial horticulturist,Retail,Increasing,Moderate,83097.17,High School,12,5959,8355,41.28,0.0,Canada,24.33
Mechanical engineer,Transportation,Decreasing,Moderate,75646.67,Associate Degree,13,2752,9320,20.57,59.7,China,20.88
Visual merchandiser,Manufacturing,Decreasing,Low,65624.63,High School,0,4840,4836,24.04,50.49,India,30.05
"Administrator, Civil Service",Finance,Increasing,High,132961.76,Bachelor’s Degree,19,2537,7227,7.68,21.52,Canada,50.99
Building services engineer,Manufacturing,Decreasing,Low,79389.46,Bachelor’s Degree,7,8411,6111,20.71,84.58,USA,56.66
Location manager,Healthcare,Decreasing,High,65222.5,High School,3,9029,3657,5.49,88.2,USA,68.54
Museum education officer,Entertainment,Increasing,Low,99650.3,PhD,3,9037,7569,19.34,33.27,Canada,69.28
Osteopath,Retail,Decreasing,High,105589.81,Master’s Degree,11,8931,2724,66.68,0.0,China,29.22
Commercial horticulturist,Entertainment,Decreasing,Moderate,110301.52,Master’s Degree,19,8906,8585,43.02,35.63,Brazil,58.73
Fashion designer,IT,Decreasing,High,97690.19,High School,6,3894,6101,50.28,17.02,Canada,31.9
Water quality scientist,Retail,Increasing,High,96198.11,Bachelor’s Degree,12,5610,2951,4.67,13.49,USA,43.69
Environmental manager,Retail,Increasing,Low,112290.79,PhD,20,9148,2747,26.01,42.18,India,79.13
Police officer,Retail,Decreasing,High,89138.4,Associate Degree,9,2389,3293,2.11,6.92,USA,32.08
Ambulance person,IT,Decreasing,High,114684.51,Bachelor’s Degree,4,1189,851,45.31,27.22,UK,27.28
"Buyer, retail",Entertainment,Decreasing,Moderate,97997.1,PhD,8,1702,832,10.92,80.95,Australia,33.02
Energy engineer,Manufacturing,Decreasing,Low,110626.66,Master’s Degree,19,2793,7768,71.61,13.14,Canada,51.03
Purchasing manager,Healthcare,Decreasing,High,109367.63,Bachelor’s Degree,19,6948,7085,47.39,14.42,UK,58.21
Mechanical engineer,Education,Decreasing,High,86877.85,Bachelor’s Degree,9,6814,3364,8.47,62.0,Canada,36.05
Archaeologist,Healthcare,Increasing,High,69248.17,High School,9,4389,330,45.71,76.69,Brazil,67.86
Immunologist,Finance,Decreasing,Low,117935.35,Associate Degree,18,4904,6402,50.66,50.14,Germany,75.97
"Psychotherapist, child",Manufacturing,Decreasing,Low,88133.9,Associate Degree,7,1550,1620,28.78,43.32,USA,59.43
Building control surveyor,Manufacturing,Decreasing,High,85549.72,Associate Degree,2,4898,6761,19.48,1.17,China,59.89
"Journalist, broadcasting",Retail,Decreasing,High,111842.48,PhD,15,5835,4565,98.8,5.56,Australia,23.07
Naval architect,Transportation,Decreasing,Low,100591.1,PhD,10,3435,3299,7.44,55.43,Canada,52.06
"Engineer, drilling",Transportation,Decreasing,Low,90429.42,Bachelor’s Degree,17,3774,6970,12.72,64.84,Australia,49.46
"Biochemist, clinical",Education,Increasing,Moderate,105965.94,PhD,6,1761,5171,25.77,0.74,China,32.79
Secondary school teacher,Transportation,Increasing,High,57925.27,High School,8,8929,2014,69.91,68.03,UK,25.17
Housing manager/officer,Retail,Increasing,Moderate,112320.41,PhD,11,3581,6865,76.65,37.27,UK,69.32
Occupational psychologist,Manufacturing,Increasing,High,90086.9,Associate Degree,15,6654,5831,34.17,68.87,Canada,28.27
Medical laboratory scientific officer,Healthcare,Decreasing,Low,101811.7,Associate Degree,16,6159,3467,48.27,46.38,UK,77.24
Sales promotion account executive,Manufacturing,Decreasing,Low,73041.11,Associate Degree,7,1757,4842,24.3,80.63,Germany,28.87
Academic librarian,Healthcare,Decreasing,Low,105334.85,Bachelor’s Degree,13,1417,9601,83.49,47.17,Canada,55.18
Location manager,Entertainment,Increasing,High,110275.4,Master’s Degree,18,1237,2490,51.1,0.0,China,74.93
"Radiographer, diagnostic",Entertainment,Increasing,High,92174.11,Bachelor’s Degree,16,462,8424,44.83,55.5,USA,25.09
Colour technologist,Transportation,Increasing,Moderate,83462.38,PhD,0,8303,5377,40.31,27.2,China,58.37
Chartered certified accountant,IT,Increasing,Moderate,93882.51,Master’s Degree,0,8130,2071,30.34,92.67,China,25.72
Actuary,Entertainment,Increasing,Moderate,93479.83,High School,19,182,8037,84.43,19.95,China,58.94
Plant breeder/geneticist,Education,Decreasing,High,120872.92,Master’s Degree,20,946,8811,20.67,22.23,Germany,33.83
Barista,Entertainment,Increasing,High,89020.93,Associate Degree,11,5610,5451,9.41,10.3,Brazil,51.32
Colour technologist,Manufacturing,Decreasing,High,86974.51,High School,13,1709,4466,12.94,26.69,Australia,79.56
Building surveyor,Transportation,Increasing,High,68905.72,High School,10,4460,8869,23.62,23.87,India,64.87
"Engineer, broadcasting (operations)",IT,Decreasing,Moderate,94268.84,Bachelor’s Degree,0,2713,2476,25.81,74.61,UK,61.66
Financial risk analyst,Healthcare,Decreasing,Low,109524.37,Master’s Degree,19,2077,6177,71.61,34.43,Australia,52.77
Water engineer,Manufacturing,Increasing,Low,84110.18,Associate Degree,1,8929,6002,2.99,13.45,China,60.43
Hydrogeologist,Retail,Increasing,Moderate,73727.16,Associate Degree,10,7976,8622,84.63,72.56,Brazil,34.01
Forest/woodland manager,Finance,Decreasing,High,94068.07,High School,9,3848,2546,38.61,0.0,China,70.52
Legal executive,Transportation,Increasing,High,57969.51,High School,6,3967,859,23.43,50.45,China,25.53
Sub,Finance,Decreasing,Low,104338.46,High School,10,8303,7436,35.09,0.0,China,52.42
Chiropodist,Manufacturing,Decreasing,Moderate,101793.34,Bachelor’s Degree,12,1182,7504,17.15,11.87,Brazil,21.96
"Designer, jewellery",Manufacturing,Increasing,Low,93758.45,Bachelor’s Degree,14,1357,8366,84.85,50.34,China,43.97
"Librarian, academic",Finance,Increasing,Low,92867.54,High School,13,5472,1666,57.17,61.76,Brazil,24.85
Emergency planning/management officer,IT,Increasing,High,85870.08,Bachelor’s Degree,1,4254,1114,55.31,90.19,UK,37.14
Web designer,Education,Decreasing,Low,101254.3,Master’s Degree,16,1551,1402,25.23,66.55,UK,71.83
Educational psychologist,Education,Increasing,High,97361.57,Master’s Degree,7,6598,8325,4.92,35.66,USA,76.78
Furniture designer,Transportation,Increasing,Moderate,112356.5,PhD,18,3136,7814,41.16,0.0,UK,32.81
Government social research officer,Transportation,Decreasing,High,60049.73,Associate Degree,0,840,3626,51.54,73.46,Australia,37.45
